east;size;sales;investment
FALSE;26;595456;66206
FALSE;2;45843;10570
FALSE;2;45858;0
FALSE;13;298123;0
FALSE;2;45942;369091
FALSE;4;92074;5076
FALSE;16;368373;0
FALSE;5;115177;0
FALSE;2;46123;0
FALSE;2;46130;49412
FALSE;16;369213;14529
FALSE;6;138472;28371
FALSE;11;253914;0
FALSE;325;7516271;
FALSE;40;926128;0
FALSE;5;115925;4692
FALSE;2;46383;0
FALSE;59;1370683;30074
FALSE;2;46464;1000
FALSE;78;1813758;12004
FALSE;59;1373321;76417
FALSE;2;46565;0
FALSE;2;46653;0
FALSE;65;1516516;53534
FALSE;2;46729;0
FALSE;11;257691;0
FALSE;3;70417;0
FALSE;35;822967;45783
FALSE;30;705737;0
FALSE;1;23528;0
FALSE;206;4847874;138207
FALSE;3;71000;0
FALSE;5;118633;0
FALSE;4;94914;0
FALSE;3;71257;0
FALSE;4;95224;0
FALSE;4;95304;0
FALSE;4;95354;4830
FALSE;2;47757;0
FALSE;6;143668;36850
FALSE;4;95792;0
FALSE;2;48152;0
FALSE;189;4557387;0
FALSE;20;482504;123084
FALSE;118;2850083;0
FALSE;25;604794;0
FALSE;4;96812;0
FALSE;3;72826;0
FALSE;2;48682;12303
FALSE;34;828716;159328
FALSE;2;48845;10648
FALSE;20;490063;0
FALSE;2;49106;0
FALSE;4;98450;0
FALSE;4;98518;0
FALSE;7;172622;0
FALSE;2;49353;0
FALSE;37;914263;233432
FALSE;11;272109;0
FALSE;17;420689;1535077
FALSE;137;3392013;0
FALSE;1;24938;0
FALSE;34;848087;637018
FALSE;12;299384;43641
FALSE;78;1946995;0
FALSE;3;75045;6464
FALSE;102;2558421;0
FALSE;190;4770749;479357
FALSE;4;100459;30962
FALSE;3;75499;0
FALSE;76;1913021;1278011
FALSE;3;75529;0
FALSE;5;125906;7875
FALSE;6;151089;0
FALSE;51;1284767;506154
FALSE;5;126039;0
FALSE;8;201836;5284
FALSE;79;1993427;856433
FALSE;5;126471;0
FALSE;14;354207;0
FALSE;1;25374;0
FALSE;2;50784;0
FALSE;2;50985;0
FALSE;2;50992;0
FALSE;7;178542;1994
FALSE;4;102167;2152
FALSE;6;153321;4653
FALSE;3;76823;0
FALSE;6;153916;93586
FALSE;32;821413;23690
FALSE;83;2130892;798794
FALSE;1;25687;0
FALSE;91;2354680;0
FALSE;96;2484133;834924
FALSE;1;25881;0
FALSE;8;207260;4386
FALSE;8;207275;4099
FALSE;5;129585;2264
FALSE;35;909292;10460
FALSE;4;104363;0
FALSE;5;130899;0
FALSE;15;393357;30884
FALSE;2;52478;2103
FALSE;3;78753;20726
FALSE;19;499323;1819
FALSE;20;525697;214004
FALSE;3;78915;3202
FALSE;2;52699;9145
FALSE;27;711547;
FALSE;5;131806;22312
FALSE;3;79393;0
FALSE;7;185699;10537
FALSE;46;1220722;1438088
FALSE;5;132755;0
FALSE;4;106359;3763
FALSE;5;133171;0
FALSE;44;1174195;370423
FALSE;4;106926;0
FALSE;39;1044113;86822
FALSE;5;133967;0
FALSE;2;53616;0
FALSE;4;107349;0
FALSE;5;134454;0
FALSE;2;53808;73663
FALSE;3;80768;0
FALSE;7;188492;0
FALSE;12;323813;48682
FALSE;244;6592350;0
FALSE;5;135234;0
FALSE;38;1027950;48060
FALSE;4;108251;0
FALSE;2;54127;0
FALSE;2;54128;4882
FALSE;11;297965;0
FALSE;3;81328;15162
FALSE;4;108459;75340
FALSE;4;108636;0
FALSE;2;54326;
FALSE;3;81499;2776
FALSE;2;54428;0
FALSE;3;81719;0
FALSE;1;27304;0
FALSE;64;1748997;17498
FALSE;8;219331;59331
FALSE;15;411883;41785
FALSE;178;4923623;47331
FALSE;47;1301721;410396
FALSE;13;361753;3120
FALSE;2;55659;12940
FALSE;4;111448;5322
FALSE;100;2788153;257701
FALSE;13;362746;0
FALSE;26;725691;0
FALSE;68;1898214;8396
FALSE;1;27984;0
FALSE;3;84191;18167
FALSE;2;56204;19955
FALSE;38;1070327;54328
FALSE;1;28168;0
FALSE;80;2254059;2500000
FALSE;26;732956;271705
FALSE;56;1580093;1089552
FALSE;2;56435;0
FALSE;10;282267;0
FALSE;49;1383569;2500000
FALSE;2;56516;2113
FALSE;324;9184605;754346
FALSE;14;397675;0
FALSE;7;199160;5469
FALSE;6;171342;6062
FALSE;35;1000623;29901
FALSE;1;28597;4146
FALSE;99;2835064;97974
FALSE;7;200621;4789
FALSE;35;1006110;48904
FALSE;5;143758;10352
FALSE;45;1294250;0
FALSE;2;57537;0
FALSE;4;115249;0
FALSE;3;86523;0
FALSE;2;57993;0
FALSE;6;174292;18982
FALSE;5;145562;20175
FALSE;7;203967;0
FALSE;30;874278;157590
FALSE;22;642026;0
FALSE;3;87656;0
FALSE;2;58509;27717
FALSE;16;468702;11068
FALSE;127;3721129;2500000
FALSE;4;117336;0
FALSE;6;176710;4244
FALSE;5;147314;0
FALSE;7;206240;0
FALSE;2;58992;31461
FALSE;6;176992;0
FALSE;33;974701;0
FALSE;6;177298;2098
FALSE;5;147982;0
FALSE;4;118494;2873
FALSE;43;1273970;268955
FALSE;2;59355;0
FALSE;22;653569;18628
FALSE;63;1874344;223106
FALSE;12;357420;256169
FALSE;189;5642247;0
FALSE;5;149333;8418
FALSE;2;59740;0
FALSE;55;1647054;70658
FALSE;40;1200110;28341
FALSE;4;120031;15855
FALSE;12;360476;43649
FALSE;11;331129;0
FALSE;7;210848;0
FALSE;6;180798;5384
FALSE;7;211057;0
FALSE;6;181143;394093
FALSE;141;4256915;0
FALSE;43;1299885;0
FALSE;4;121059;2728
FALSE;35;1061645;0
FALSE;19;576799;0
FALSE;40;1214569;34908
FALSE;20;609539;0
FALSE;3;91480;0
FALSE;196;5982258;0
FALSE;6;183305;32587
FALSE;7;213903;0
FALSE;3;91677;21939
FALSE;4;122386;0
FALSE;3;91882;724918
FALSE;2;61275;1849
FALSE;2;61276;0
FALSE;44;1348516;0
FALSE;3;91960;13743
FALSE;19;582949;13774
FALSE;26;797807;0
FALSE;11;338132;0
FALSE;130;3997933;0
FALSE;4;123126;5865
FALSE;5;154266;0
FALSE;2;61746;0
FALSE;2;61814;67474
FALSE;15;464485;0
FALSE;6;186141;0
FALSE;57;1772097;75211
FALSE;16;497670;0
FALSE;30;933560;205189
FALSE;6;186881;20369
FALSE;19;591846;0
FALSE;10;311906;0
FALSE;19;593141;0
FALSE;195;6093665;225652
FALSE;3;93833;2132
FALSE;2;62616;0
FALSE;6;188242;0
FALSE;3;94129;3036
FALSE;3;94185;0
FALSE;2;62835;0
FALSE;65;2042566;137113
FALSE;74;2330698;2500000
FALSE;121;3812707;15962
FALSE;47;1482844;194271
FALSE;2;63119;0
FALSE;2;63131;19568
FALSE;4;126335;0
FALSE;5;158139;0
FALSE;28;885714;9297
FALSE;5;158215;30436
FALSE;2;63341;0
FALSE;2;63423;18653
FALSE;3;95256;0
FALSE;2;63553;0
FALSE;22;700312;0
FALSE;8;254710;0
FALSE;16;509469;0
FALSE;3;95633;0
FALSE;7;223536;47379
FALSE;4;127819;0
FALSE;99;3164242;118539
FALSE;25;800201;0
FALSE;8;256101;90963
FALSE;2;64237;0
FALSE;5;160610;0
FALSE;10;322195;0
FALSE;89;2867719;109956
FALSE;5;161538;21641
FALSE;4;129344;0
FALSE;132;4269494;19967
FALSE;4;129467;0
FALSE;23;745710;27365
FALSE;5;162132;42236
FALSE;11;356694;0
FALSE;46;1492839;177147
FALSE;48;1558472;139352
FALSE;79;2572780;55071
FALSE;10;325697;32527
FALSE;112;3655038;29776
FALSE;20;653028;159377
FALSE;11;359680;11915
FALSE;10;327891;190908
FALSE;12;393498;46751
FALSE;2;65595;0
FALSE;91;2987765;46973
FALSE;9;295731;14158
FALSE;1;32982;273521
FALSE;8;264013;0
FALSE;3;99401;7478
FALSE;7;231937;346834
FALSE;11;364553;22748
FALSE;5;165811;319826
FALSE;2;66351;0
FALSE;10;332628;0
FALSE;44;1466236;26775
FALSE;2;66662;0
FALSE;283;9448686;1718612
FALSE;8;267140;31041
FALSE;26;868227;65571
FALSE;112;3741209;0
FALSE;9;301108;0
FALSE;5;167349;5842
FALSE;2;66972;0
FALSE;10;335076;0
FALSE;4;134301;9198
FALSE;10;335780;7928
FALSE;10;337090;14018
FALSE;50;1689149;0
FALSE;8;270479;0
FALSE;74;2501984;1616349
FALSE;9;304322;10053
FALSE;15;507353;4234
FALSE;16;541560;0
FALSE;44;1491213;431353
FALSE;248;8414854;2438
FALSE;9;305402;55438
FALSE;1;34048;0
FALSE;12;408934;0
FALSE;7;238599;169481
FALSE;2;68205;9239
FALSE;65;2218760;10819
FALSE;1;34137;0
FALSE;4;136607;8703
FALSE;21;718068;0
FALSE;2;68403;12536
FALSE;8;274171;0
FALSE;60;2058415;0
FALSE;5;171620;14137
FALSE;11;377917;0
FALSE;4;137596;20772
FALSE;31;1067340;870556
FALSE;4;137808;19755
FALSE;3;103360;0
FALSE;5;172270;0
FALSE;2;69108;0
FALSE;20;691288;0
FALSE;8;276650;0
FALSE;14;484514;
FALSE;3;103855;15990
FALSE;12;416009;27969
FALSE;2;69401;0
FALSE;26;902633;0
FALSE;2;69444;0
FALSE;8;277924;0
FALSE;25;869413;0
FALSE;5;174149;20174
FALSE;11;383290;21263
FALSE;10;348959;19647
FALSE;2;69798;0
FALSE;11;384385;0
FALSE;2;69929;12267
FALSE;7;245170;0
